sample.id,inst.country.code,legacy.sample.code,month,year,sample.country.code,sample.postcode,sample.city,sample.site,gps,material,height,depth,m_s,V_w,c_Cl,c_NO3,c_SO4,c_Na,c_K,c_Ca,c_Mg
IRPA-000010,BE,N/A,10,2004,BE,1000,Brussel,Zavelkerk,N/A,N/A,N/A,N/A,0.0786,30,7.352,14.21,984.258,3.038,0.72,421.4,2.036
IRPA-000098,BE,N/A,6,2006,BE,N/A,Antwerpen,St-Joriskerk,N/A,N/A,N/A,N/A,1.0143,100,3.698,2.598,63.883,30.525,18.556,10.656,0.205
IRPA-000280,BE,N/A,1,2007,BE,N/A,Oudergem,Ijskelder,N/A,N/A,150,N/A,0.956,100,0.419,1.456,1.461,0.836,0.743,16.053,0.642
IRPA-002608,BE,N/A,6,2010,BE,N/A,Ternat,St-Gertruidiskerk,N/A,B,N/A,3to5,0.634,100,0.072,0.245,0.814,0.758,2.674,0.891,0
IRPA-003138,BE,N/A,9,2011,BE,N/A,Bruxelles,Coudenberg,N/A,B,160,0to3,0.476,70,16.332,3.93,30.134,9.577,1.526,14.542,0.686
IRPA-003707,BE,N/A,N/A,2011,BE,N/A,Doornik,St Jacques,N/A,N/A,N/A,N/A,0.207,60,4.361,16.487,16.662,3.694,2.637,10.198,2.567
IRPA-003741,BE,N/A,8,2011,BE,N/A,Gravenvoeren ,St Lambert,N/A,M,100,0to2,0.364,70,1.292,13.766,16.844,48.15,11.274,6.085,0
IRPA-003821,BE,N/A,11,2011,BE,N/A,Leuven,Stadhuis,N/A,M,150,2to5,0.997,100,309.914,163.745,8.985,198.122,32.591,23.675,13.912
IRPA-003949,BE,N/A,1,2011,BE,N/A,Ostende,Museum De Platen,N/A,S,160,0to1,0.49,70,123.4,23.3,14,59.2,6.6,37.4,0.8
IRPA-004843,BE,N/A,6,2012,BE,N/A,Halle,Sint Martinusbasiliek,N/A,S,97,0to1,0.651,100,16.9,37.88,37.8,17.09,17.7,16.1,0.3
IRPA-004950,BE,N/A,N/A,2012,BE,N/A,Kessel,Saint Lambertuskerk,N/A,P,165,1to3,0.815,100,10.241,36.12,372.698,12.579,11.454,148.628,4.655
IRPA-004986,BE,N/A,N/A,2012,BE,N/A,Leuven,SintGeertruijAbdij,N/A,M,N/A,0to2,0.738,100,40.278,200.709,406.21,147.675,39.226,87.756,13.66
IRPA-005023,BE,N/A,N/A,2012,BE,N/A,Lier,Begijnhof Kalvariberg,N/A,P,80,1to3,0.45,100,24.733,22.564,365.481,4.174,5.009,165.686,2.705
IRPA-005433,BE,N/A,7,2013,BE,N/A,Mechelen,Sint_Pieters en Pauluskerk,N/A,M,N/A,0to2,0.886,100,7.525,63.583,448.276,112.855,79.309,54.94,17.908
IRPA-005496,BE,N/A,6,2013,BE,N/A,Sint Truiden,Sint-Martinuskerk,N/A,M,186,3to5,0.909,100,4.796,18.585,67.299,17.133,27.911,13.201,1.472
IRPA-006025,BE,N/A,4,2014,BE,N/A,Gent,Sint-Pieterskerk,N/A,S,N/A,12to14,0.794,100,1.348,3.328,24.249,22.398,4.675,7.031,0
IRPA-006082,BE,N/A,6,2014,BE,N/A,Museumkerk,Rekem,N/A,P,45,0to1,0.543,100,24.231,69.319,58.696,15.029,5.441,49.847,1.028
IRPA-007481,BE,N/A,8,2015,BE,N/A,Mariakerke,Duinenkerk,N/A,M,125,0to2,1.218,100,96.827,23.749,45.406,69.936,7.757,16.85,0.814
IRPA-009298,BE,N/A,2,2017,BE,N/A,Diepenbeek,Kasteel,N/A,P ,50,0to1,1.138,100,24.747,150.526,338.131,25.236,19.906,180.776,4.345
IRPA-009623,BE,X340,N/A,2017,BE,8400,Oostend,Sint Petrus & Paulus kerk,N/A,P,500,0to2,1.512,100,13.073,10.909,1295.66,47.131,134.904,462.336,0
IRPA-009750,BE,X141,N/A,2017,BE,4400,Flémalle,Kasteel van Aigremont,N/A,P,95,1to3,0.84,100,10.354,163.212,22.256,5.479,8.727,70.0023,3.31
IRPA-009866,BE,X450,N/A,2018,BE,N/A,Tongeren,Agnetenklooster,N/A,S,230,0to2,1.378,100,46.99,55.909,403.269,34.756,25.421,121.339,38.592
IRPA-010217,BE,X260,N/A,2018,BE,N/A,Sint Agatha Rode,Kerk Sint Agatha,N/A,M,110,0to2,1.527,100,15.108,36.965,8.634,11.026,22.605,17.096,0.688
IRPA-011319,BE,X220,10,2019,BE,N/A,Adinkerke,Sint-Audomaruskerk,N/A,B,N/A,0to2,1.013,100,73.623,132.95,13.312,51.096,24.926,38.588,3.918
IRPA-011405,BE,X486,1,2020,BE,N/A,Bruxelles,Rijke-Klarenkerk,N/A,N/A,N/A,N/A,0.485,100,38.658,2.127,270.341,11.6,5.252,129.875,0.772
